This file was created by CMPT_ME_BEME_RETS_DAILY using the 201911 CRSP database.,,,,,,,,,,,,,,,,,,,,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,,,,,,,,,,,,,,,,,,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Mkt-RF,SMB,HML,RF,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
19391116,1.1,0.04,0.07,0,2.47,1.21,0.87,1.54,1.22,0.71,1.06,1.25,1.94,1.11,1.37,1.18,0.51,1.06,1.08,1.33,0.99,1.79,2.21
19391117,-0.29,0,0.12,0,-0.48,-0.3,-0.34,-0.21,-0.3,-0.1,-0.45,-0.63,-0.36,0,-0.72,-0.31,-0.01,-0.48,-0.4,-0.82,0.01,-0.08,-0.86
19391118,0.34,-0.35,-0.44,0,0.08,0.47,0.26,0.08,0.46,0.18,0.24,0.68,-0.25,0.26,0.76,0.49,0.03,0.26,0.22,0.73,0.51,-0.47,0.13
19391120,0.05,-0.03,0.06,0,0.23,0.01,0.04,0.07,0.01,0.12,0.17,-0.3,0.19,0.26,-0.35,0.04,0.16,0.12,0.25,-0.36,-0.09,0.43,-0.24
19391121,-0.63,-0.28,-0.46,0,-0.87,-0.43,-0.76,-1.31,-0.39,-0.71,-0.77,-0.82,-1.56,-0.23,-0.61,-0.64,-0.74,-0.55,-1.11,-0.77,-0.97,-1.71,-1.29
19391122,-0.13,-0.38,-0.6,0,0.69,-0.02,-0.23,-0.64,-0.02,-0.13,0,-0.6,-0.78,0.03,-0.09,-0.04,-0.17,0.03,-0.04,-0.64,-0.44,-1.01,-0.39
19391124,-1.11,-0.57,-0.39,0,-1.49,-1.04,-1.07,-1.96,-0.96,-0.86,-1.15,-1.66,-2.7,-0.63,-1.43,-1.4,-0.62,-1.25,-0.98,-1.87,-0.98,-2.57,-2.92
19391125,0.04,-0.53,-0.04,0,0.19,-0.06,0.18,-0.06,-0.07,0.21,-0.1,0.19,-0.03,-0.19,0.1,-0.01,0.31,-0.31,0.22,0.28,-0.1,0.24,-0.5
19391127,0.08,0.13,-0.8,0,0.24,0.23,0.03,-0.54,0.24,0,0.13,-0.08,-0.35,0.21,0.29,0.2,-0.09,0.25,-0.05,0.14,-0.78,-0.37,-0.33
19391128,-0.16,-0.24,-0.23,0,0.08,-0.18,-0.16,-0.15,-0.13,-0.16,-0.1,-0.31,-0.41,0.03,-0.37,-0.43,-0.04,-0.15,-0.01,-0.47,0.21,-0.05,-1.06
19391129,-1.08,-0.67,-0.56,0,-1.18,-0.97,-1.04,-2.28,-0.91,-0.92,-1.16,-1.41,-2.88,-0.84,-1.01,-1.25,-0.78,-1.18,-1.13,-1.39,-1.49,-2.55,-3.45
19391130,-0.9,-1.47,-0.21,0,-1.51,-0.79,-0.87,-1.59,-0.77,-0.68,-1.21,-1.13,-1.67,-0.73,-0.82,-0.92,-0.58,-1.22,-1.2,-1.02,-1.48,-1.22,-2.47
19391201,0.73,0.67,0.03,0,1.01,0.77,0.63,1.34,0.79,0.52,0.86,0.64,2.02,0.84,0.7,0.67,0.46,0.76,1.01,0.69,0.47,1.44,3.07
19391202,0.11,0.62,0.03,0,-0.39,0.27,-0.05,0.03,0.28,-0.07,0.01,0.2,-0.27,0.34,0.2,0.18,-0.19,0.2,-0.3,0.14,0.42,-0.55,0.22
19391204,-0.11,-0.29,-0.68,0,-0.53,-0.19,0.02,-0.58,-0.18,0.05,-0.18,-0.14,-0.68,-0.26,-0.06,-0.28,0.19,-0.05,-0.39,-0.04,-0.45,-0.41,-1.16
19391205,0.1,-0.21,-0.23,0,0.58,0.16,0.05,0.28,0.11,0.23,0.1,-0.08,0.19,0.22,-0.04,0.4,0.15,0.5,-0.53,-0.23,0.4,0.03,0.46
19391206,1.41,0.84,-0.01,0,2.04,1.46,1.32,1.96,1.42,1.17,1.21,1.96,2.5,1.22,1.71,1.64,0.97,1.15,1.32,2.18,1.25,1.86,3.64
19391207,0.29,0.74,-0.44,0,0.04,0.26,0.4,0.17,0.34,-0.06,1.44,-0.09,0.38,0.36,0.3,-0.1,-0.04,0.29,3.28,-0.08,-0.12,0.21,0.69
19391208,-0.65,-0.2,-0.1,0,-0.95,-0.55,-1.01,-0.95,-0.53,-0.3,-2.45,-0.64,-1.61,-0.47,-0.63,-0.64,-0.15,-0.56,-5.39,-0.81,-0.08,-1.21,-2.3
19391209,-0.06,0.17,-0.37,0,-0.02,-0.07,-0.02,-0.47,-0.11,0.14,-0.23,-0.24,-0.35,-0.14,-0.06,0.08,0.16,-0.29,-0.14,-0.12,-0.62,-0.42,-0.23
19391211,-0.83,-0.43,-0.83,0,-1.57,-0.68,-0.88,-1.6,-0.6,-0.76,-0.74,-1.4,-2.26,-0.56,-0.64,-1.08,-0.61,-0.85,-0.56,-1.61,-0.73,-1.63,-3.36
19391212,-0.23,-0.58,-0.22,0,0.42,-0.06,-0.54,-0.03,0.01,-0.45,-0.65,-0.52,0.35,0.01,0.01,-0.39,-0.48,-0.6,-0.73,-0.52,-0.52,0.66,-0.21
19391213,1.32,0.61,1.17,0,1.83,1.35,1.15,2.59,1.33,0.99,1.14,1.7,3.75,0.98,1.83,1.45,0.79,1.16,1.1,1.89,1.09,2.75,5.54
19391214,-0.07,0.14,-0.99,0,0.66,-0.04,0.04,-1.05,-0.12,0.18,0.19,-0.33,-1.46,-0.02,-0.27,0.34,0.1,0.15,0.25,-0.29,-0.49,-1.27,-1.8
19391215,0.09,-0.48,-0.35,0,0.27,0.12,0.07,-0.27,0.1,0.13,-0.01,0.05,-0.27,0.19,-0.04,0.24,0.09,0.12,-0.23,0.15,-0.26,-0.32,-0.18
19391216,-0.07,-0.1,0.41,0,-0.62,-0.1,-0.03,0,-0.09,-0.16,0.01,0.14,-0.04,0,-0.22,-0.15,-0.16,-0.07,0.15,0.17,0.05,0.3,-0.64
19391218,-0.17,0.09,-0.43,0,-0.77,-0.23,-0.07,-0.54,-0.26,0,-0.24,-0.07,-0.89,-0.2,-0.34,-0.1,0.04,-0.22,-0.27,-0.07,-0.08,-1.03,-0.65
19391219,-0.26,-0.26,-1.04,0,-0.77,0.02,-0.44,-1.32,0.03,-0.11,-0.41,-1.02,-1.65,0.05,0.01,-0.03,-0.15,-0.41,-0.41,-1.06,-0.88,-1.68,-1.61
19391220,0.31,-0.37,-0.01,0,0.22,0.17,0.49,0.47,0.12,0.37,0.84,0.25,0.82,0.05,0.23,0.41,0.35,0.89,0.75,0.32,0.01,1.1,0.33
19391221,0.03,0.05,-0.38,0,-0.35,-0.14,0.36,-0.58,-0.15,0.31,0.22,0.04,-0.58,-0.16,-0.14,-0.11,0.51,0.21,0.25,0.23,-0.57,-0.23,-1.19
19391222,0.34,-0.6,0.15,0,0.21,0.38,0.22,0.61,0.39,0.19,0.3,0.37,0.54,0.45,0.3,0.32,0.14,0.12,0.59,0.27,0.7,0.61,0.43
19391223,0.1,0.26,0.15,0,0.41,0.06,0.1,0.31,0.04,0,0.28,0.21,0.39,0.05,0.02,0.15,-0.07,0.11,0.55,0.21,0.21,0.28,0.59
19391226,-0.39,-0.22,-0.85,0,-0.23,-0.25,-0.55,-0.96,-0.17,-0.27,-0.73,-1.11,-1.03,-0.08,-0.31,-0.63,-0.11,-0.69,-0.78,-1.19,-0.86,-0.55,-1.9
19391227,-0.63,-0.71,-0.01,0,-1.3,-0.53,-0.66,-1.5,-0.42,-0.7,-0.6,-1.09,-1.59,-0.37,-0.5,-1.09,-0.53,-0.49,-0.77,-1.01,-1.38,-1.16,-2.38
19391228,0.87,0.74,0.85,0,1.85,0.84,0.67,2.06,0.78,0.52,1.04,1.27,2.09,0.6,1.03,1.12,0.25,0.8,1.42,1.05,2.02,1.76,2.7
19391229,0.58,0.18,-0.24,0,2.11,0.58,0.51,0.34,0.58,0.57,0.71,0.28,-0.03,0.57,0.58,0.6,0.56,0.68,0.77,0.12,0.82,-0.05,0
19391230,0.22,0.24,0.47,0,0.29,0.02,0.37,0.71,-0.01,0.07,0.68,0.48,1.32,0.13,-0.21,0.15,0.04,0.81,0.48,0.64,-0.07,1.56,0.87
19400102,1.07,0.99,0.8,0,0.62,0.92,1.13,2.12,0.83,0.84,1.4,1.85,2.27,0.59,1.19,1.36,0.6,1.34,1.5,1.83,1.92,2.32,2.18
19400103,1.15,0.87,1.07,0,0.99,0.91,1.28,2.41,0.75,1.34,1.24,1.55,2.97,0.62,0.94,1.69,1.18,1.19,1.32,1.51,1.67,3.2,2.56
19400104,-0.28,0.18,-0.15,0,-0.94,-0.21,-0.29,-0.75,-0.13,-0.39,-0.09,-0.61,-0.72,0.05,-0.4,-0.59,-0.3,-0.14,0,-0.55,-0.8,-0.33,-1.42
19400105,-0.52,-0.13,-0.46,0,-0.7,-0.51,-0.4,-1.5,-0.44,-0.06,-0.7,-1.16,-2.4,-0.18,-0.82,-0.85,0.31,-0.67,-0.75,-1.43,-0.28,-2.68,-1.9
19400106,-0.08,0.3,0.19,0,0.39,-0.05,-0.2,0.11,-0.02,-0.3,-0.29,0.06,0.61,-0.12,0.13,-0.19,-0.35,-0.29,-0.3,0.25,-0.55,0.76,0.34
19400108,0.11,0.25,-0.06,0,-0.02,0.08,0.14,-0.08,0.08,-0.01,0.45,0.21,-0.58,-0.09,0.33,0.06,-0.04,0.54,0.32,0.1,0.59,-0.58,-0.59
19400109,-0.87,-0.4,-0.66,0,-2.07,-0.88,-0.7,-1.35,-0.88,-0.58,-0.79,-1.1,-1.55,-0.75,-1.07,-0.89,-0.44,-1.03,-0.39,-1.1,-1.08,-1.76,-1.16
19400110,0.15,0.19,0.47,0,0.64,0.15,0.1,0.33,0.17,-0.01,0.17,0.21,0.52,0.21,0.12,0.02,-0.03,0.2,0.13,0.24,0.08,0.65,0.27
19400111,-1.34,-0.81,-0.09,0,-1.62,-1.32,-1.42,-1.72,-1.27,-1.14,-1.48,-2.03,-2.19,-1.22,-1.33,-1.58,-0.94,-1.4,-1.62,-2.32,-1.1,-1.88,-2.78
19400112,-1.62,-0.74,-0.32,0,-2.57,-1.52,-1.58,-2.53,-1.45,-1.47,-1.62,-2.01,-3.15,-1.11,-1.94,-1.87,-1.29,-1.45,-1.88,-2.1,-1.72,-3.01,-3.42
19400113,-0.36,-0.2,-0.28,0,-0.5,-0.43,-0.26,-0.65,-0.44,-0.41,-0.14,-0.17,-0.77,-0.61,-0.2,-0.39,-0.43,-0.19,-0.07,-0.07,-0.49,-0.85,-0.63
19400115,-0.39,-0.7,0.27,0,0.26,-0.26,-0.52,-0.63,-0.2,-0.3,-0.87,-0.69,-0.61,-0.35,0.01,-0.52,-0.2,-0.75,-1.07,-0.7,-0.67,-0.29,-1.2
19400116,0.65,0.28,-0.2,0,0.21,0.81,0.47,0.55,0.75,0.49,0.85,0.55,0.44,0.87,0.56,1.14,0.2,0.8,0.92,0.5,0.68,0.66,0.02
19400117,0.21,0.18,-0.03,0,0.47,0.05,0.35,0.27,0.04,0.53,0.01,0.06,0.29,0.08,-0.01,0.07,0.73,0.07,-0.09,0.01,0.23,0.56,-0.22
19400118,-0.24,-0.44,-0.37,0,-1.06,-0.17,-0.22,-0.98,-0.13,-0.13,-0.45,-0.42,-1.15,-0.22,-0.01,-0.37,-0.02,-0.44,-0.47,-0.31,-0.77,-1.42,-0.63
19400119,0.21,-0.2,-0.7,0,0.38,0.36,0.15,-0.26,0.39,0.27,0.31,-0.4,-0.08,0.36,0.44,0.21,0.3,0.07,0.69,-0.38,-0.47,0,-0.23
19400120,-0.08,0.12,0.36,0,-0.28,-0.23,0,0.53,-0.21,-0.1,0.13,0.01,0.52,-0.23,-0.18,-0.33,-0.01,0.14,0.11,-0.15,0.55,0.81,-0.03
19400122,-0.3,-0.07,-0.13,0,-0.04,-0.22,-0.33,-0.82,-0.2,-0.24,-0.52,-0.37,-1.15,-0.13,-0.3,-0.36,-0.18,-0.5,-0.55,-0.36,-0.4,-1.21,-1.03
19400123,0.19,-0.12,-0.54,0,0.61,0.23,0.18,0.01,0.19,0.2,0.15,0.31,0.01,0.12,0.31,0.42,0.1,0.06,0.29,0.4,0.01,-0.19,0.38
19400124,1.17,0.29,0.48,0,1.68,1.24,0.9,2.53,1.15,0.84,1.05,1.6,3.31,0.99,1.38,1.68,0.47,1.08,0.99,1.63,1.54,2.56,4.75
19400125,-0.42,0.71,-0.22,0,-0.17,-0.46,-0.34,-0.88,-0.44,-0.36,-0.14,-0.62,-1.39,-0.21,-0.78,-0.54,-0.28,-0.32,0.15,-0.75,-0.23,-0.93,-2.24
19400126,0.01,0.29,-0.78,0,0.09,0.17,-0.19,-0.41,0.19,-0.04,-0.21,-0.41,-0.36,0.08,0.35,0.08,-0.09,-0.27,-0.12,-0.39,-0.47,-0.37,-0.35
19400127,-0.1,0.15,0.83,0,-0.9,-0.12,-0.07,0.4,-0.14,-0.12,-0.18,0.2,0.71,-0.2,-0.05,-0.04,-0.16,-0.15,-0.22,0.25,0.02,1.08,0.01
19400129,-0.09,-0.05,-0.02,0,-0.06,-0.04,-0.08,-0.32,-0.01,-0.13,0.17,-0.4,-0.16,0.03,-0.06,-0.19,-0.11,0.21,0.11,-0.37,-0.52,-0.23,-0.03
19400130,-0.41,-0.34,0,0,-0.35,-0.46,-0.33,-0.52,-0.47,-0.28,-0.42,-0.38,-0.8,-0.6,-0.29,-0.39,-0.22,-0.43,-0.4,-0.44,-0.16,-0.57,-1.24
19400131,-0.22,-0.28,-0.19,0,-0.33,-0.21,-0.25,-0.53,-0.23,-0.21,-0.14,-0.37,-0.63,-0.21,-0.27,-0.09,-0.27,-0.21,-0.03,-0.37,-0.4,-0.74,-0.42
19400201,-0.05,0.13,0.03,0,-0.19,-0.06,-0.07,0.05,-0.05,-0.11,-0.02,-0.06,0.09,0,-0.13,-0.1,-0.11,0.27,-0.47,-0.07,0,0.13,0.02
19400202,0.15,0.49,-0.43,0,0.92,0,0.31,0.03,0.01,0.22,0.18,0.32,-0.06,-0.04,0.09,-0.09,0.36,0.08,0.34,0.38,0.14,-0.25,0.32
19400203,0.24,-0.1,0.12,0,0.67,0.28,0.19,0.23,0.24,0.34,0.25,-0.06,0.41,0.19,0.31,0.49,0.27,0.15,0.41,-0.08,0.01,0.31,0.6
19400205,-0.38,-0.05,-0.1,0,-0.24,-0.42,-0.38,-0.42,-0.43,-0.48,-0.38,-0.17,-0.31,-0.42,-0.44,-0.35,-0.54,-0.43,-0.3,-0.05,-0.56,-0.42,-0.1
19400206,0.64,-0.18,0.23,0,0.93,0.72,0.52,1.23,0.69,0.54,0.33,0.96,1.67,0.49,0.97,0.84,0.4,0.24,0.47,1.05,0.67,1.63,1.74
19400207,0.44,0.06,-0.13,0,0.35,0.54,0.33,0.51,0.54,0.37,0.18,0.51,0.75,0.32,0.86,0.54,0.29,0.29,0,0.61,0.2,0.75,0.75
19400208,1.13,0.84,0.82,0,2.3,1.09,0.99,2.28,1.07,0.86,0.79,1.88,2.56,0.79,1.47,1.21,0.71,0.76,0.84,1.87,1.91,1.76,4.07
19400209,0.25,0.61,0.09,0,0.32,0.35,0.17,-0.06,0.29,0.26,0.53,-0.08,-0.16,0.53,-0.06,0.67,0.08,0.75,0.17,-0.13,0.06,-0.16,-0.16
19400210,-0.18,-0.62,-0.22,0,-0.66,-0.24,-0.06,-0.48,-0.15,-0.16,0,-0.3,-0.8,0.04,-0.41,-0.66,0.06,0.07,-0.11,-0.38,-0.06,-0.48,-1.39
19400213,-0.1,-0.18,-0.56,0,0.02,-0.01,-0.14,-0.59,-0.03,0.1,-0.12,-0.53,-0.88,-0.01,-0.07,0.11,0.1,0.05,-0.4,-0.63,-0.22,-0.5,-1.58
19400214,-0.14,-0.07,-0.24,0,-0.25,-0.25,-0.03,0,-0.23,-0.06,-0.03,-0.3,0.37,-0.45,0.1,-0.35,0.06,0.08,-0.21,-0.24,-0.48,0.89,-0.6
19400215,0.11,0.53,-0.18,0,0.32,0.23,0.01,-0.12,0.18,0.22,-0.04,-0.06,-0.42,0.27,0.06,0.44,0.12,-0.2,0.23,-0.17,0.28,-0.56,-0.14
19400216,0.04,0.31,0.39,0,-0.33,-0.12,0.17,0.42,-0.2,0.11,-0.07,0.74,0.29,-0.07,-0.38,0.28,0.04,-0.1,-0.02,0.8,0.58,0.17,0.52
19400217,0.29,0.56,0.35,0,0.56,0.24,0.34,0.49,0.22,0.22,0.51,0.38,0.77,0.15,0.33,0.31,0.18,0.22,0.98,0.45,0.14,0.67,0.95
19400219,-0.16,-0.04,0,0,-0.22,-0.22,-0.07,-0.52,-0.26,0.02,-0.14,-0.17,-0.83,-0.13,-0.45,-0.03,0.04,-0.08,-0.23,-0.19,-0.11,-0.59,-1.3
19400220,0.32,-0.14,-0.24,0,-0.08,0.25,0.38,0.63,0.2,0.22,0.11,1.07,1.02,0.03,0.44,0.52,0.08,-0.19,0.59,1.36,0.13,0.97,1.11
19400221,-0.08,0.75,0.15,0,-0.78,0.1,-0.22,-0.44,0.1,-0.08,0.22,-0.67,-1,-0.07,0.35,0.06,-0.15,0.39,-0.04,-0.96,0.27,-1.09,-0.81
19400223,-0.48,-0.1,-0.15,0,-0.78,-0.43,-0.55,-0.72,-0.36,-0.68,-0.4,-0.53,-0.92,-0.2,-0.58,-0.74,-0.65,-0.54,-0.17,-0.55,-0.46,-0.65,-1.44
19400224,-0.49,-0.31,-0.37,0,0.01,-0.45,-0.51,-1.03,-0.46,-0.29,-0.51,-0.96,-1.34,-0.37,-0.6,-0.4,-0.25,-0.39,-0.7,-1.06,-0.65,-1.36,-1.3
19400226,-0.06,-0.59,-0.06,0,0.44,-0.13,0.01,-0.18,-0.09,-0.14,-0.08,0.11,0.03,-0.11,-0.06,-0.33,-0.06,-0.16,0.05,0.28,-0.45,0.2,-0.28
19400227,-0.15,-0.12,0.44,0,-0.28,-0.14,-0.27,0.54,-0.16,-0.2,-0.27,-0.05,0.44,-0.05,-0.31,-0.04,-0.28,-0.4,-0.06,-0.28,0.68,0.5,0.32
19400228,0.13,0.39,-0.43,0,0.06,0.06,0.25,-0.2,-0.01,0.41,0.28,-0.2,-0.1,-0.01,0,0.37,0.42,0.3,0.26,-0.16,-0.33,-0.15,0
19400229,-0.02,0.29,0.21,0,-0.23,-0.09,0.1,0.18,-0.15,0.17,-0.26,0.34,0.32,-0.09,-0.23,0.17,0.17,-0.33,-0.15,0.44,0.01,0.26,0.43
19400301,-0.3,-0.1,-0.08,0,-0.71,-0.09,-0.47,-0.57,-0.03,-0.44,-0.41,-0.41,-1.07,0.14,-0.26,-0.39,-0.46,-0.4,-0.42,-0.56,0.07,-1.03,-1.14
19400302,0.01,0.13,-0.06,0,0.26,0.2,-0.24,0.07,0.29,-0.12,-0.53,-0.13,0.06,0.22,0.38,-0.2,-0.08,-0.79,-0.11,-0.21,0.1,-0.05,0.26
19400304,0.23,-0.03,0.08,0,0.09,0.12,0.32,0.68,0.1,0.33,-0.04,0.63,0.87,0.25,-0.12,0.25,0.37,0.04,-0.16,0.69,0.43,1.18,0.27
19400305,0.36,0.31,-0.28,0,0.92,0.46,0.19,0.7,0.47,0.23,0.06,0.42,1.01,0.41,0.55,0.41,0.14,-0.18,0.44,0.46,0.3,0.8,1.41
19400306,0.7,0.63,0.22,0,1.39,0.73,0.54,1.26,0.7,0.6,0.64,0.66,1.4,0.54,0.94,0.88,0.48,0.92,0.21,0.53,1.09,1.54,1.13
19400307,0.26,0.24,-0.42,0,1.13,0.26,0.3,-0.31,0.29,0.32,0.29,0.09,-0.62,0.27,0.31,0.15,0.4,0.28,0.3,0.09,0.1,-0.66,-0.55
19400308,-0.19,0.27,-0.26,0,-0.71,-0.28,-0.08,-0.3,-0.3,-0.09,0.08,-0.29,-0.49,-0.16,-0.5,-0.16,-0.06,0.06,0.12,-0.36,-0.06,-0.44,-0.58
19400309,0.03,-0.24,0.26,0,-0.17,0.01,0.05,0.1,-0.01,0.17,0.03,-0.13,-0.03,0.01,-0.04,0.09,0.21,0.07,-0.03,-0.25,0.27,0.22,-0.5
19400311,0.16,0,-0.16,0,0.41,0.24,0.04,0,0.31,0,0.29,-0.23,0.02,0.07,0.66,-0.09,0.05,0.51,-0.04,-0.3,-0.02,0.01,0.04
19400312,0.03,-0.51,0.21,0,-0.53,0.01,0.09,0,0.04,-0.03,0.42,-0.18,-0.02,-0.11,0.26,-0.17,0.04,0.48,0.33,-0.24,0.03,0.04,-0.14
19400313,-0.14,-0.23,-0.3,0,0,-0.12,-0.14,-0.53,-0.1,0.03,-0.16,-0.58,-0.78,-0.17,0,-0.2,0.13,-0.14,-0.19,-0.7,-0.21,-0.7,-0.92
19400314,-0.07,-0.09,-0.55,0,0.35,-0.02,-0.09,-0.45,0.05,-0.11,0.14,-0.56,-0.55,0.11,-0.03,-0.37,0,0.12,0.16,-0.63,-0.33,-0.44,-0.75
19400315,-1.19,-0.82,0.01,0,-1.89,-1.21,-1.04,-1.95,-1.12,-1.07,-1.06,-1.5,-2.31,-0.99,-1.3,-1.66,-0.8,-0.96,-1.22,-1.5,-1.49,-1.64,-3.63
19400316,-0.48,-0.93,0.02,0,-1.18,-0.36,-0.52,-0.86,-0.27,-0.53,-0.63,-0.62,-1.05,-0.17,-0.41,-0.81,-0.4,-0.68,-0.56,-0.62,-0.62,-1.11,-0.93
19400318,-0.06,-0.15,-0.32,0,0.52,-0.1,-0.08,-0.01,-0.09,-0.16,0.03,0.05,-0.27,-0.09,-0.08,-0.14,-0.17,0.1,-0.07,-0.03,0.31,-0.4,-0.01
19400319,0.68,0.53,-0.18,0,1.4,0.74,0.62,0.7,0.6,0.77,0.52,0.9,0.98,0.51,0.72,1.43,0.48,0.25,0.95,1.07,0.35,0.86,1.2
19400320,0.58,1.17,0.02,0,1.05,0.45,0.64,0.98,0.44,0.36,0.92,0.91,1.17,0.46,0.42,0.51,0.3,0.81,1.1,0.97,0.74,1,1.5
19400321,-0.03,0.33,0.11,0,0.62,0.1,-0.18,-0.22,0.1,-0.09,-0.24,-0.09,-0.33,0.01,0.23,0.12,-0.18,0.04,-0.68,-0.09,-0.09,-0.23,-0.53
19400323,-0.01,0.31,-0.08,0,-0.23,0,-0.02,-0.24,-0.01,0.04,-0.02,-0.17,-0.16,-0.03,0.03,0.06,0.04,0.13,-0.27,-0.12,-0.34,0.1,-0.69
19400325,-0.2,-0.6,-0.09,0,0.23,-0.32,-0.08,-0.1,-0.29,-0.15,-0.28,0.08,-0.26,-0.27,-0.31,-0.46,-0.01,-0.54,0.12,0.08,0.1,-0.02,-0.75
19400326,-0.22,-0.03,-0.08,0,-1.26,-0.18,-0.22,-0.32,-0.2,-0.16,-0.16,-0.3,-0.46,-0.16,-0.25,-0.1,-0.19,-0.45,0.3,-0.35,-0.14,-0.4,-0.58
19400327,1.27,1.11,0.25,0,1.93,1.17,1.26,2.36,1.15,0.87,1.23,2.13,3.44,0.91,1.5,1.26,0.7,1.17,1.33,2.47,1.04,2.27,5.77
19400328,-0.15,0.3,-0.23,0,-1.42,-0.22,0.03,-0.66,-0.27,0.02,0.26,-0.18,-1.21,-0.21,-0.35,0,0.02,0.29,0.21,-0.25,0.03,-0.91,-1.79
19400329,0.37,-0.67,0.14,0,0.43,0.42,0.25,0.72,0.41,0.02,0.46,0.77,1.03,0.56,0.18,0.49,-0.2,0.56,0.3,0.9,0.32,1.31,0.48
19400330,0.44,0.38,0.52,0,1.05,0.38,0.37,1.27,0.37,0.22,0.13,1.1,1.68,0.36,0.37,0.45,0.12,0.3,-0.15,1.2,0.77,1.27,2.48
19400401,-0.16,0.13,-0.35,0,0.25,-0.28,0.05,-0.84,-0.28,0.04,0.1,-0.27,-1.39,-0.24,-0.33,-0.3,0.19,-0.08,0.39,-0.32,-0.13,-1.39,-1.41
19400402,0.25,-0.06,-0.03,0,-0.09,0.34,0.16,0.31,0.38,0.1,-0.01,0.57,0.18,0.29,0.51,0.17,0.06,-0.12,0.17,0.59,0.47,0.3,-0.05
19400403,1.36,0.83,1.36,0,2.01,1.14,1.38,3.18,1.1,0.86,1.55,2.54,4.03,0.69,1.68,1.36,0.64,1.7,1.32,2.68,2.11,3.4,5.27
19400404,0.71,0.22,0.83,0,1.15,0.75,0.57,1.23,0.7,0.72,0.54,0.52,1.89,0.81,0.54,1,0.6,0.44,0.69,0.56,0.39,1.48,2.7
19400405,-0.28,-0.08,0.04,0,0.26,-0.3,-0.33,-0.27,-0.35,-0.2,-0.14,-0.67,-0.15,-0.38,-0.31,-0.08,-0.26,-0.1,-0.2,-0.75,-0.43,-0.13,-0.18
19400406,0.6,0.19,0.32,0,0.05,0.46,0.81,0.91,0.42,0.57,0.55,1.55,0.83,0.27,0.64,0.62,0.54,0.32,0.92,1.71,1.01,0.34,1.77
19400408,0.11,0.36,0.15,0,-0.98,0.28,-0.07,0.07,0.33,0.03,0.08,-0.38,0.17,0.33,0.34,0.04,0.03,0.22,-0.12,-0.47,-0.07,0.41,-0.27
19400409,-0.75,0.7,-0.7,0,-1.98,-0.79,-0.53,-1.68,-0.86,-0.36,-1.02,-0.13,-3.25,-0.46,-1.42,-0.43,-0.33,-1.16,-0.79,-0.28,0.35,-3.52,-2.74
19400410,-0.6,-0.3,0.16,0,0.05,-0.67,-0.63,-0.45,-0.65,-0.72,-0.5,-0.79,0,-0.46,-0.91,-0.81,-0.67,-0.52,-0.48,-0.73,-1.02,0.68,-1.29
19400411,0.24,0.23,0.23,0,-0.53,0.27,0.23,0.33,0.24,0.28,0.2,0.43,-0.11,0.02,0.55,0.41,0.22,0.11,0.34,0.29,0.87,-0.26,0.18
19400412,-0.62,-0.01,-0.64,0,-0.75,-0.52,-0.73,-1.1,-0.52,-0.7,-0.41,-1.03,-1.14,-0.52,-0.52,-0.52,-0.79,-0.32,-0.54,-1.02,-1.05,-0.8,-1.8
19400413,0.18,0.25,-0.59,0,0.59,0.35,-0.04,-0.03,0.38,0.04,0.29,-0.28,-0.41,0.37,0.4,0.21,-0.04,0.39,0.12,-0.5,0.45,-0.46,-0.31
19400415,0.09,1.03,0.02,0,-0.54,0.02,0.04,0.88,0.07,-0.24,0.23,0.51,0.86,0.2,-0.12,-0.22,-0.25,0.12,0.42,0.38,0.9,1.32,0
19400416,-1.2,-0.78,-0.34,0,-1.13,-1.14,-1.23,-1.79,-1.1,-0.82,-1.39,-2.13,-2.07,-1.01,-1.22,-1.34,-0.59,-1.32,-1.49,-2.34,-1.44,-2.08,-2.05
19400417,0.26,0.61,0.01,0,-0.56,0.15,0.46,-0.03,0.1,0.22,0.5,0.83,-0.18,0.25,-0.11,0.39,0.15,0.15,1.05,1.05,0.17,-0.51,0.45
19400418,-0.74,-0.29,0.23,0,-1.31,-0.74,-0.75,-0.62,-0.68,-0.69,-0.69,-1.1,-0.66,-0.56,-0.85,-1.04,-0.53,-0.98,-0.24,-1.26,-0.58,0.01,-1.95
19400419,-0.1,-0.14,-0.37,0,0.09,-0.19,-0.06,0.05,-0.2,-0.3,0.13,0.1,0.54,-0.18,-0.22,-0.14,-0.37,0.26,-0.08,0.3,-0.55,0.47,0.68
19400420,0.63,1.02,0.34,0,1.26,0.31,0.9,1.25,0.27,0.73,0.89,1.09,1.33,0.16,0.43,0.5,0.83,0.77,1.08,1.06,1.16,1.18,1.63
19400422,0.24,0.25,0.03,0,0.05,0.38,0.11,0.23,0.41,0.17,0.23,-0.05,0.24,0.38,0.47,0.21,0.15,0.44,-0.09,-0.14,0.21,0.52,-0.31
